threshold,accuracy,f1_macro,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,support_real,support_fake
0.86,0.547979797979798,0.43828006751670084,0.5226666666666666,1.0,0.6865148861646234,1.0,0.105,0.19004524886877827,980,1000
0.87,0.5348484848484848,0.41337560746818747,0.5155181483429774,1.0,0.6803193335647345,1.0,0.079,0.1464318813716404,980,1000
0.88,0.5227272727272727,0.38948209901216235,0.509090909090909,1.0,0.6746987951807228,1.0,0.055,0.10426540284360189,980,1000
0.89,0.5141414141414141,0.371995584622141,0.5046343975283213,1.0,0.6707734428473648,1.0,0.038,0.07321772639691715,980,1000
0.9,0.5050505050505051,0.3529411764705882,0.5,1.0,0.6666666666666666,1.0,0.02,0.0392156862745098,980,1000
0.91,0.5015151515151515,0.34537473650149014,0.498220640569395,1.0,0.665083135391924,1.0,0.013,0.02566633761105627,980,1000
0.92,0.498989898989899,0.3399148277197057,0.4969574036511156,1.0,0.6639566395663956,1.0,0.008,0.015873015873015872,980,1000
0.93,0.49595959595959593,0.33330094375144237,0.4954499494438827,1.0,0.6626098715348209,1.0,0.002,0.003992015968063872,980,1000
0.9400000000000001,0.494949494949495,0.3310810810810811,0.494949494949495,1.0,0.6621621621621622,0.0,0.0,0.0,980,1000
0.9500000000000001,0.494949494949495,0.3310810810810811,0.494949494949495,1.0,0.6621621621621622,0.0,0.0,0.0,980,1000
0.96,0.494949494949495,0.3310810810810811,0.494949494949495,1.0,0.6621621621621622,0.0,0.0,0.0,980,1000
0.97,0.494949494949495,0.3310810810810811,0.494949494949495,1.0,0.6621621621621622,0.0,0.0,0.0,980,1000
0.98,0.494949494949495,0.3310810810810811,0.494949494949495,1.0,0.6621621621621622,0.0,0.0,0.0,980,1000
0.99,0.494949494949495,0.3310810810810811,0.494949494949495,1.0,0.6621621621621622,0.0,0.0,0.0,980,1000
1.0,0.494949494949495,0.3310810810810811,0.494949494949495,1.0,0.6621621621621622,0.0,0.0,0.0,980,1000
